level,x,y,piece,group,nlevel,n,PANEL,fill,colour,linewidth,linetype,alpha,sample
2e-08,1600.46068374449,-1651.92724116162,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1600.15703845745,-1613.99763257576,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1603.54593205515,-1576.0680239899,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1610.48614485678,-1538.13841540404,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1611.08380681818,-1535.8450377232,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1619.16435802288,-1500.20880681818,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1630.44633012261,-1462.27919823232,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1643.98378080942,-1424.34958964646,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1654.65514520202,-1396.36310627044,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1658.19825400794,-1386.41998106061,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1670.50890855876,-1348.49037247475,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1680.38482933717,-1310.56076388889,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1685.52893550852,-1272.63115530303,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1684.22049955545,-1234.70154671717,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1676.22733981906,-1196.77193813131,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1663.10183839035,-1158.84232954545,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1654.65514520202,-1138.94656444265,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1646.76791953837,-1120.9127209596,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1629.89056404489,-1082.98311237374,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1615.33460392301,-1045.05350378788,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1611.08380681818,-1031.54597264789,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1602.93531665613,-1007.12389520202,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1593.8388835813,-969.194286616161,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1588.61153734696,-931.264678030303,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1587.10779547446,-893.335069444444,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1589.26520244418,-855.405460858586,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1595.19626284863,-817.475852272727,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1605.26015008669,-779.546243686868,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1611.08380681818,-764.011728554705,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1618.51717386099,-741.61663510101,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1635.39568950565,-703.687026515152,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1654.65514520202,-671.068137041485,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1657.62882070479,-665.757417929293,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1683.1538332644,-627.827809343434,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1698.22648358586,-609.479969409978,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1714.57294330917,-589.898200757576,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1741.7978219697,-562.145812091438,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1752.47255774711,-551.968592171717,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1785.36916035354,-523.844018957069,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,1798.28736661858,-514.038983585858,2,-1-002-002,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
