sample,r,theo,border,trans,iso
1461EP,251.708145141602,199041.855376253,265140.259564462,279507.038995287,264696.606960376
1461EP,252.802528381348,200776.416724617,267233.265372642,281720.62296085,266741.736041002
1461EP,253.896911621094,202518.503284904,269338.978197042,284012.919316788,268861.699213568
1461EP,254.99129486084,204268.115057115,271457.976452029,286356.427394547,271048.643807353
1461EP,256.085678100586,206025.25204125,273495.923276756,288609.569759911,273148.174380368
1461EP,257.180061340332,207789.914237307,275520.513634073,290938.753771021,275305.744343008
1461EP,258.274444580078,209562.101645289,277659.558139691,293313.199781406,277534.346279335
1461EP,259.368827819824,211341.814265194,279761.94461364,295610.299033596,279667.329848548
1461EP,260.46321105957,213129.052097022,281930.317827966,297949.227583895,281831.225448677
1461EP,261.557594299316,214923.815140774,284155.461783748,300275.007374958,283991.514127097
1461EP,262.651977539063,216726.103396449,286247.975102663,302563.631611254,286108.18470052
1461EP,263.746360778809,218535.916864048,288585.753672459,304875.784011324,288234.21404996
1461EP,264.840744018555,220353.25554357,290629.50655783,307261.454004974,290456.403711813
1461EP,265.935127258301,222178.119435016,292741.889033372,309554.881138587,292572.291513012
1461EP,267.029510498047,224010.508538385,294973.309686709,311981.974361102,294820.14695746
1461EP,268.123893737793,225850.422853678,297311.920778518,314451.216053907,297105.017055997
1461EP,269.218276977539,227697.862380894,299538.148485152,316891.62516409,299370.298634632
1461EP,270.312660217285,229552.827120034,301752.478600237,319425.440221638,301722.172754957
1461EP,271.407043457031,231415.317071097,304013.232024028,321896.748480789,304013.246711935
1461EP,272.501426696777,233285.332234084,306157.778496129,324259.971148696,306204.380838828
1461EP,273.595809936523,235162.872608994,308494.93329971,326871.600468211,308630.196146344
1461EP,274.69019317627,237047.938195828,310856.275394054,329475.482516847,311043.389252535
1461EP,275.784576416016,238940.528994585,312939.89722432,331961.474420985,313375.226712709
1461EP,276.878959655762,240840.645005266,315153.185346699,334303.569315732,315531.337850915
