"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"PDE6D","PDE6D","purple","purple",-0.0341066020461955,0.00553682409573036,0.0759518518742507,-0.0205673730844948,0.0453469636698363,-0.00822286562282797,0.102323377882087,-0.0248586871553463,-0.0255885139992236,-0.0161403999893803,0.0852688819230744,0.0898107961846083
"AC046134.2","AC046134.2","turquoise","turquoise",-0.0292895659940424,0.122602439722049,0.0929925459276049,-0.0118934858103589,0.15392844963656,-0.0993272673669954,0.00181317257421644,0.00477667947289787,-0.00706012414992244,0.0122370090901436,0.0116906062437824,0.0247605324568335
"RTKN2","RTKN2","blue","blue",-0.00228160345935086,0.109811606961052,0.0223245763360968,0.010051554044305,0.00365558416058876,3.48246092374972e-06,0.00832859102396728,0.0286393048453308,-0.00189927387466601,0.0223971207580978,0.0253434745243104,0.00608142275616004
"AC008691.1","AC008691.1","yellow","yellow",0.0194146941156511,0.0564103944411723,-0.0684467241609359,0.255207824311684,-0.00487784324684222,-0.0304022446407011,-0.0405523488009542,0.016495604002322,-0.000695865513019706,-0.0220205005977421,-0.0620488208486995,-0.0293726573821762
"TMEM67","TMEM67","turquoise","turquoise",-0.00250211154449813,0.0183144023513448,0.0721401962012166,-0.00767137618037932,0.101140446318375,-0.0786263575425418,-0.0595675463983214,0.0171101739234778,0.0146679382833588,0.0164575877978499,-0.0365317491576399,-0.0104309048118848
"TSHZ3","TSHZ3","purple","purple",-0.057549461806346,-0.0159268888036954,0.0787349995789675,-0.0781417044381955,0.0113222650409322,0.0675692704848052,0.101019576981378,-0.0198347819287799,-0.0340273635164567,0.0580577490021519,0.197391762389797,0.0450245957165205
"TULP2","TULP2","blue","blue",-0.0175540938657943,0.409779798815918,0.096666722825844,-0.00459209665337817,0.105162441606054,-0.103104917219814,0.0328759056899642,-0.00249696210025922,0.0614145763916914,-0.0383707872107579,-0.0942505383683697,0.0344090842786666
"VKORC1L1","VKORC1L1","brown","brown",-0.0516588596021448,-0.0547589019159953,0.0130300085582532,-0.016966211775324,-0.0764358169646814,0.177642268442045,0.0296171865317029,-0.0134023104810053,0.0316138045576551,-0.00473409493036849,0.0208268936700791,-0.0709506240434903
"CMC1","CMC1","turquoise","turquoise",-0.0186077833409044,0.0382735185161514,0.126864871878628,-0.0302792586158189,0.222526751057563,-0.163728484539118,-0.108899817113393,0.0265031238814704,0.0241176607634711,0.0661218767342628,-0.042785274383087,0.0157364357653815
"PRPSAP1","PRPSAP1","red","red",-0.0533551015933414,0.178915008521156,-0.00293845753457819,-0.0738115345930108,-0.127842135255723,0.228021960446468,0.354583198381142,-0.0538038788226945,-0.110599120616904,-0.0622123372904019,0.175223579390488,-0.0624007278537872
"OSBPL8","OSBPL8","yellow","yellow",-0.0159247534956178,-0.0487252560102789,-0.0633635307547384,0.149416365172463,-0.0969001486462325,0.128723122782937,0.0747862648701083,0.019488974694045,0.00378717487994922,-0.072875031728358,-0.0139635564865588,0.0295523982107658
"RAB4B","RAB4B","blue","blue",-0.0250909365339137,0.199320407575698,0.037040733456526,-0.0342908976451958,-0.0240532256700137,0.0602254289749513,0.134757104557653,-0.019549383134317,0.0049174728041587,-0.0553806586673233,0.0083882272536275,-0.0372591176680913
